metric,value
TP,47.0
FP,11.0
TN,56865.0
FN,32.0
Accuracy,0.999245017996664
Precision,0.8103448275862069
Recall,0.5949367088607594
F1_Score,0.6861313868613138
AUC_ROC,0.9620936418644693
AUC_PR,0.684392026437651
